"","Date","month","day_of_week.x","weekday_weekend","dew_point","wind_speed","temperature","hdd","cdd","demand_forecast","demand","net_generation","total_interchange","forecast_error"
"16",2015-07-16,"2015-07",5,0,18.9875,0.966666666666667,27.45,9.11666666666667,0,5000.5,4893.125,4413.875,2920,107.375
"17",2015-07-17,"2015-07",6,1,19.975,0.6375,28.9833333333333,10.65,0,4689.20833333333,4122.20833333333,4654.16666666667,2506.33333333333,567
"18",2015-07-18,"2015-07",7,1,21.9958333333333,0.954166666666667,28.6875,10.3541666666667,0,3910.45833333333,3558.66666666667,5731.16666666667,2472.79166666667,351.791666666667
"19",2015-07-19,"2015-07",1,0,21.625,0.683333333333333,29.0791666666667,10.7458333333333,0,5352.125,6172.29166666667,6481.79166666667,3391.25,-820.166666666667
"20",2015-07-20,"2015-07",2,0,20.4958333333333,0.683333333333333,30.4,12.0666666666667,0,5437.54166666667,5143.08333333333,5450.625,3165.95833333333,294.458333333334
"21",2015-07-21,"2015-07",3,0,21.3916666666667,1.19166666666667,29.2166666666667,10.8833333333333,0,5573.91666666667,5111.83333333333,5356.16666666667,2676.79166666667,462.083333333334
"22",2015-07-22,"2015-07",4,0,19.5541666666667,0.808333333333333,29.1833333333333,10.85,0,4876.20833333333,4713.45833333333,4861.79166666667,2941.20833333333,162.75
"23",2015-07-23,"2015-07",5,0,21.0125,0.958333333333333,27.8666666666667,9.53333333333333,0,4043.04166666667,4337.70833333333,4262,2597.66666666667,-294.666666666667
"24",2015-07-24,"2015-07",6,1,20.1375,1.07083333333333,27.1125,8.77916666666667,0,3744.75,3748.79166666667,5448.33333333333,2710.83333333333,-4.04166666666652
"25",2015-07-25,"2015-07",7,1,17.8,0.691666666666667,27.525,9.19166666666667,0,5470.16666666667,5392,5846.79166666667,2012.66666666667,78.166666666667
"26",2015-07-26,"2015-07",1,0,17.6375,0.795833333333333,28.3083333333333,9.975,0,5767.83333333333,6034.70833333333,6808.91666666667,2198.70833333333,-266.875
"27",2015-07-27,"2015-07",2,0,19.0208333333333,0.558333333333333,28.9875,10.6541666666667,0,5274.29166666667,4403.58333333333,6707.83333333333,2225,870.708333333334
"28",2015-07-28,"2015-07",3,0,22.3583333333333,0.695833333333333,28.2,9.86666666666667,0,4568.91666666667,4610.41666666667,6616.45833333333,1905.25,-41.5
"29",2015-07-29,"2015-07",4,0,21.7875,0.558333333333333,28.9041666666667,10.5708333333333,0,4843.45833333333,4589.125,6042.04166666667,2190.54166666667,254.333333333333
"30",2015-07-30,"2015-07",5,0,22.3875,0.583333333333333,30.5875,12.2541666666667,0,5230.95833333333,5370.20833333333,6542.5,2235.33333333333,-139.25
"31",2015-07-31,"2015-07",6,1,15.7083333333333,1.2375,28.5208333333333,10.1875,0,3912.625,4473.25,4021.25,2213.41666666667,-560.625
"32",2015-08-01,"2015-08",7,1,14.2333333333333,0.866666666666667,28.0875,9.75416666666667,0,5713.625,5959.83333333333,6789.75,1702.75,-246.208333333333
